id,description,en,si,ta
buttons.confirm,Label used for confirm button,Confirm,තහවුරු කරන්න,உறுதிப்படுத்தவும்
buttons.continue,Label used for continue button,Continue,අපිට පවා කරන්න.,தொடருங்கள்
buttons.login,The title that appears in step one of the form,Login,ඇතුල් වන්න,உள்நுழையுங்கள்
constants.emailAddress,Label used for email address input field,Email address,ඊ-මේල් ලිපිනය,மின்னஞ்சல் முகவரி
constants.phoneNumber,Label used for phone number input field,Phone number,දුරකථන අංකය,தொலைபேசி எண்
constants.skipToMainContent,Label for a keyboard accessibility link which skips to the main content,Skip to main content,මූලික අන්තර්ගතයට පිවිසෙන්න,முக்கிய உள்ளடக்கத்திற்கு விடுக.
error.errorEmailAddressNotFound,Error message for email address not found,Email address not found.,ඊමේල් ලිපිනය හමු නොවේ.,மின்னஞ்சல் முகவரி கண்டறியப்படவில்லை.
error.errorPhoneNumberNotFound,Error message for phone number not found,Phone number not found,දුරකතන අංකය හමු නොවේ.,தொலைபேசி எண் கண்டறியப்படவில்லை
error.networkError,The error that appears when there is no internet connection,Unable to connect to server,සේවාදායකයට සම්බන්ධ වී නොහැක,சேவையகத்துக்கு இணைய செய்ய முடியவில்லை
error.required.password,New password required,Invalid password,අවලංගු මුරපදය,தவறான கடவுச்சொல்
label.error,Generic error message for invalid form nput,Invalid input,වලංගු ආදායමක්,தவறான உள்ளீடு
login.clearForm,,Clear form,පෝරමය හිස් කරන්න,வடிவமைக்கப்பட்ட படிவம்
login.codeSubmissionError,The error that appears when the user entered sms code is unauthorised,Incorrect verification code. Please try again,අවලංගු සබැඳියේ අංකය. නැවත උත්සහා කරන්න.,தவறான சரிபார்ப்பு குறியீடு. மீண்டும் முயற்சி செய்க
login.fieldMissing,The error if user doesn't fill all the field,Enter your username and password,ඔබගේ පරිශීලක නාමය සහ මුරපදය ඇතුළත් කරන්න,உங்கள் பயனர்பெயர் மற்றும் கடவுச்சொல் உள்ளிடவும்
login.forbiddenCredentialError,The error that appears when the user entered details are forbidden,User is currently deactivated,පරිශීලකයා වරදවී වසරක් විවෘත කළ ඇත,பயனர் தற்போது முடக்கப்பட்டுள்ளார்.
login.forgotPassword,The label that appears on the Forgot password button,Can't login?,ඇයි?,உள்நுழைய முடியவில்லையா?
login.language,Language name,"{language, select, en {English} si {Sinhala} ta {Tamil} other {{language}}}","{language, select, en {ඉංග්‍රීසි} si {සිංහල} ta {දෙමළ} other {{language}}}","{language, select, en {ஆங்கிலம்} si {சிங்களம்} ta {தமிழ்} other {{language}}}"
login.manager.performanceAppDescription,,Analyse the performance of a particular area of your country in it's Civil Registration.,ඔබගේ රටගේ ස්වාධීන ලිපි ලියාපදිංචි කිරීමේ ප්‍රතිපත්තිය විශ්වාසය කරන්න.,உங்கள் நாட்டின் ஒரு குறிப்பிடப்பட்ட பகுதியின் சிவில் பதிவுச் செயல்பாடுகளை பகுப்பாய்வு செய்க.
login.manager.performanceAppTitle,,Performance Management,කාර්ය කාල කළමනාකාරවරය,பெருமை நிர்வகனம்
login.manager.registerAppDescription,,"Manage declarations, registrations and certifications here.","මානන්දු කිරීම්, ලියාපදිංචි කිරීම් සහ සහාය කිරීම් මෙහෙයි.","அறிக்கைகளை, பதிவுகளை மற்றும் சான்றிதழ்களை இங்கே நிர்வகிக்கவும்."
login.manager.registerAppTitle,,One Registry,One Registry,One Registry
login.mobileLabel,,Mobile number,ජංගම දුරකථන අංකය,கைபேசி எண்
login.mobilePlaceholder,,0712345678,0712345678,0712345678
login.optionalLabel,Optional label,Optional,විකල්පයක් නොවේ.,விருப்பமாகும்
login.passwordLabel,The label that appears on the password input,Password,මුරපදය,கடவுச்சொல்
login.resend,Text for button that resends SMS or email verification code,"Resend {notificationMethod, select, sms {SMS} email {Email} other {}}","{notificationMethod, select, sms {ඊසම්} email {ඊමේල්} other {}} නැවත යවන්න","{notificationMethod, select, sms {எஸ்எம்எஸ்} email {மின்னஞ்சல்} other {}} மீட்டமைக்கவும்"
login.resentEMAIL,The message that appears when the resend button is clicked and tells user than code is resent to email,Authentication code sent to {email},{email} වෙත සත්‍යාපන අංකය යවන ලදි.,{email} க்கு அங்கீகார குறியீடு அனுப்பப்பட்டுள்ளது.
login.resentSMS,The message that appears when the resend button is clicked and tells user than code is resent to email,Authentication code sent to {number},{number} වෙත සත්‍යාපන අංකය යවන ලදි.,{number} க்கு அங்கீகார குறியீடு அனுப்பப்பட்டுள்ளது.
login.stepOneInstruction,The instruction that appears in step one of the form,Please enter your username and password.,කරුණාකර ඔබගේ පරිශීලක නාමය සහ මුරපදය ඇතුළත් කරන්න.,தயவுசெய்து உங்கள் பயனர்பெயர் மற்றும் கடவுச்சொல் உள்ளிடவும்.
login.stepOneText,The instruction that appears in step one of the login form,Login to One Registry,One Registry වෙත පිවිසෙන්න,One Registry இற்கு உள்நுழையவும்
login.stepTwoInstruction.email,The instruction that appears in step two of the form that lets users know that code has been sent to email,An authentication code has been sent to {email}. This code will be valid for 10 minutes,{email} වෙත බලන්නේ සලකුණු කේතය. මෙම කේතය 10 වසර සඳහා වලංගු වේ.,{email} க்கு ஒரு அங்கீகார குறியீடு அனுப்பப்பட்டுள்ளது. இந்த குறியீடு 10 நிமிடங்களுக்கு செல்லும்.
login.stepTwoInstruction.sms,The instruction that appears in step two of the form that lets users know that code has been sent to phone,An authentication code has been sent to {number}. This code will be valid for 10 minutes,{number} වෙත බලපෑම් කේතය යවා ඇත. මෙම කේතය 10 වසර සඳහා වලංගු වේ.,{number} க்கு ஒரு அங்கீகார குறியீடு அனுப்பப்பட்டுள்ளது. இந்த குறியீடு 10 நிமிடங்களுக்கு செல்லும்.
login.stepTwoResendTitle,The title that appears in step two of the form after resend button click,Authentication code resent,ටිකක් නැවත තහවුරු කළ යුතු අංකය,அங்கீகார குறியீடு மீண்டும் அனுப்பப்பட்டுள்ளது
login.stepTwoTitle,The title that appears in step two of the form,Verify your account,ඔබගේ ගිණුම සත්‍යාවන් කරන්න.,உங்கள் கணக்கை சரிபார்க்கவும்
login.submissionError,The error that appears when the user entered details are unauthorised,Incorrect username or password,වැරදි පරිශීලක නාමය හෝ මුරපදය,தவறான பயனர்பெயர் அல்லது கடவுச்சொல்
login.submit,The label that appears on the submit button,Login,ඇතුල් වන්න,உள்நுழையுங்கள்
login.tooManyCodeAttemptError,,Too many code entry attempts. You can try again after one minute.,කෝඩ් ඇන්ට්‍රි උපන් ඇඟවීම් ඉහතින් විශාල වේ. ඔබට එක් මිනිත්තු පසු නැවත උත්සහ කළ හැකිය.,குறைந்தபட்சம் குறியீட்டு முயற்சிகள். ஒரு நிமிடத்திற்கு பிறகு மீண்டும் முயற்சிக்க முடியும்.
login.tooManyLoginAttemptError,,Too many login attempts. You can try again after one minute.,පිළිගැනීම් ඉහළ වී ඇත. ඔබට නැවත උත්සහා කළ හැකිය යුතුයි එක් මිනිත්තු පසු.,உள்நுழைவு முயற்சிகள் அதிகம். ஒரு நிமிடத்திற்கு பின் மீண்டும் முயற்சிக்க முடியும்.
login.username,The label that appears on the mobile number input,Username,පරිශීලකවෙනුවන්,பயனர்பெயர்
login.verficationCodeLabel,Verification code label,Verification code (6 digits),සත්‍යාව කේතය ({digits} දිගේ),சரிபார்ப்பு குறியீடு (6 இலக்கங்கள்)
login.verify,The label that appears on the verify code button,Verify,සත්‍යාවක් ප්‍රතියාදාම කරන්න,சரிபார்க்கவும்
misc.newPass.header,New Password header,Choose a new password,නව මුරපදයක් තෝරන්න,ஒரு புதிய கடவுச்சொல் தேர்ந்தெடுக்கவும்
misc.newPass.instruction,New Password instruction,"Create a unique password - one that you don't use for other websites or applications. A secure and easy to remember passphrase could include three random words, while avoiding the use of personal info.","වෙනත් වෙබ්අඩවි හෝ යෙදුම් සඳහා භාවිතා නොකරන, අනන්‍ය මුරපදයක් සාදන්න. ආරක්ෂිත සහ මතක තබා ගැනීමට පහසු මුරවචනයක් ලෙස, පුද්ගලික තොරතුරු භාවිතා නොකර නියමිත වචන තුනක් එකතු කළ හැක.","பிற இணையதளங்கள் அல்லது பயன்பாடுகளுக்காக நீங்கள் பயன்படுத்தாத, தனித்துவமான கடவுச்சொல்லை உருவாக்குங்கள். பாதுகாப்பான மற்றும் நினைவில் வைத்துக்கொள்ள எளிதான கடவுச்சொல்லாக மூன்று சீரற்ற சொற்களைச் சேர்த்து உருவாக்கலாம், ஆனால் தனிப்பட்ட தகவல்களை தவிர்க்கவும்."
password.cases,Password validation,At least one upper and lower case character,අහිමි හෝ අවසාන අක්ෂර සංඛ්‍යාවක් එකතු කරන්න.,குறைந்தபட்சம் ஒரு மேல் மற்றும் கீழ் எழுத்து எழுத்தாளர்
password.label.confirm,Confirm password label,Confirm password,මුරපදය තහවුරු කරන්න,கடிதமைப்பு உறுதிப்படுத்தவும்
password.label.new,New password label,New password,නව මුරපදය,புதிய கடவுச்சொல்
password.match,Password validation,Passwords match,මුරපද ගැලපෙනු ඇත,கடவுச்சொல்லுகள் பொருந்துகின்றன
password.minLength,Password validation,{min} characters minimum,{min} අක්ෂර උපරිමයක්,{min} எழுத்துகள் குறைவாக இருக்க வேண்டும்
password.mismatch,Password validation,Passwords do not match,මුරපද ගැලපෙන්නේ නොසලකා නොහැක,கடவுச்சொல்லுகள் பொருந்தவில்லை
password.number,Password validation,At least one number,කිසිවක් අංකයක් එකක්ද නැතිද?,குறைந்தபட்சம் ஒரு எண்
password.validation.msg,Password validation message,Password must have:,මුරපදය තෝරා ඇති අවශ්‍යයි:,கடவுச்சொல் வேண்டும்:
reloadmodal.body,Body of reload modal,There’s a new version of {app_name} available. Please update to continue.,{app_name} හි නව අනුවාදයක් ලබා ගත හැක. කරුණාකර පවතින්න යන්න.,{app_name} புதிய பதிப்பு உள்ளது. தொடர மேம்படுத்த தயவுசெய்து புதுப்பிக்கவும்.
reloadmodal.button.update,Label of update button,Update,යාවත්කාලීනය කරන්න,புதுப்பிக்கவும்
reloadmodal.title,Title when update is available,Update available,යාවත්කාලීන ප්‍රතිඵලයක් ඇති තැන්පතුවක්.,புதுப்பிக்கப்பட்டது
resend.sms,Text for button that resend SMS or email verification code,"Resend {notificationMethod, select, sms {SMS} email {Email} other {}}","{notificationMethod, select, sms {ඊසම්} email {ඊමේල්} other {}} නැවත යවන්න","{notificationMethod, select, sms {எஸ்எம்எஸ்} email {மின்னஞ்சல்} other {}} மீட்டமைக்கவும்"
resetCredentials.emailAddressConfirmation.form.body.header,Form body header used in the body of email address confirmation step,Enter your email address,ඔබගේ ඊමෙල් ලිපිනය ඇතුළත් කරන්න,உங்கள் மின்னஞ்சல் முகவரியை உள்ளிடவும்.
resetCredentials.forgottenItem.form.body.header,Body header for forgotten item form,Select an option,එක් තේරීමක් තෝරන්න,ஒரு விகிரமம் தேர்ந்தெடுக்கவும்
resetCredentials.forgottenItem.form.title,Title used for forgotten item form,Can't login,ඇක්ස් කරන්නේ නැත,உள்நுழைய இயலவில்லை
resetCredentials.form.title,Title used reset credentials forms,"{forgottenItem, select, username {Username reminder} password {Password reset} other {}}","{forgottenItem, select, username {පරිශීලක නාමය අලවන්න} password {මුරපද නැවත සකසන්න} other {}}","{forgottenItem, select, username {பயனர்பெயர் நினைவு} password {கடவுச்சொல் மீளமை} other {}}"
resetCredentials.label.field.answer,Label used for answer input field,Answer,පිළිතුරු,பதில்
resetCredentials.label.field.verificationCode,Label used for verification code input field,Verification code (6 digits),සත්‍යාව කේතය ({digits} දිගේ),சரிபார்ப்பு குறியீடு (6 இலக்கங்கள்)
resetCredentials.option.password,Option used for password,Password reset,මුරපද නැවත සකසන්න,கடவுச்சொல் மீள்வீடு
resetCredentials.option.username,Option used for username,Username reminder,පරිශීලක නාමය අමතකදීම,பயனர் புனைவு
resetCredentials.phoneNumberConfirmation.form.body.header,Form body header used in the body of phone number confirmation step,Enter your phone number,ඔබගේ දුරකතන අංකය ඇතුළත් කරන්න,உங்கள் தொலைபேசி எண்ணை உள்ளிடவும்.
resetCredentials.phoneNumberConfirmation.form.body.subheader,,,,
resetCredentials.recoveryCodeEntry.codeResent.form.body.header,The title that appears in step two of the form after resend button click,Authentication code resent,ටිකක් නැවත තහවුරු කළ යුතු අංකයක්,அங்கீகார குறியீடு மீள்படுத்தப்பட்டது
resetCredentials.recoveryCodeEntry.codeResent.form.body.subheader,The message that appears when the resend button is clicked.,Resent another code to {number}.,{number} වෙනි කේතයක් නැවත යවන්න.,{number} க்கு மறுமொழி குறியீட்டை அனுப்புக.
resetCredentials.recoveryCodeEntry.form.body.header,Form body header used for recovery code entry step,Enter 6-digit authetication code,අංකය ඇතුළත් කිරීමේ 6 අංක සත්‍යාගත කේතයක් ඇතුළත් කරන්න.,6-இலக்க அங்கீகார குறியீடை உள்ளிடவும்
resetCredentials.recoveryCodeEntry.form.body.subheader,Form body subheader used for recovery code entry step in mobile flow,An authentication code was sent to your phone number. Didn't receive it? {link},ඔබගේ දුරකතන අංකයට සලකා ඇත්ද? එය ලබා නොහැකියිද? {link},உங்கள் தொலைபேசி எண்ணுக்கு ஒரு அங்கீகார குறியீடு அனுப்பப்பட்டுள்ளது. பெறவில்லையா? {link}
resetCredentials.recoveryCodeEntry.form.body.subheader.email,Form body subheader used for recovery code entry step in email flow,The recovery code was sent to your email. Please enter the code. Didn't receive it? {link},ප්‍රස්තු කේතය ඔබගේ ඊමෙලයට යැවිය යුතු බව දන්වන ලදි. කේතය ඇතුළත් කරන්න. එය ලග නොහැකියිද? {link},மீண்டும் பரிவர்த்தனை குறியீடு உங்கள் மின்னஞ்சலிக்கு அனுப்பப்பட்டுள்ளது. குறியீடை உள்ளிடவும். பெறவில்லையா? {link}
resetCredentials.securityQuestion.form.body.subheader,Form body subheader used for security question step,This is one of the security questions you choose when setting up your account,ඔබගේ ගිණුම සැකසුම් කිරීමේ වෙනස්කම් තෝරාගත් ආරක්ෂක ප්‍රශ්නයට එකතු කිරීමේ එකක් මෙයයි,உங்கள் கணக்கை அமைப்பதைத் தொடங்கும்போது நீங்கள் தேர்ந்தெடுக்கும் பாதுகாப்பு கேள்விகளில் ஒன்று இதுதான்.
resetCredentials.success.page.subtitle.email,Subtitle for success page for email,"{forgottenItem, select, username {Check your email for a reminder of your username} password {You can now login with your new password} other {}}","{forgottenItem, select, username {ඔබගේ පරිශීලක නාමය අමතන්න ඔබගේ ඊමේල් තැපැලට පලවෙනුයේ} password {ඔබගේ නව මුරපදය සම්බන්ධ වී ඇත} other {}}","{forgottenItem, select, username {உங்கள் பயனர்பெயரை நினைவுக்கு உங்கள் மின்னஞ்சலில் சரிபார்க்கவும்} password {உங்கள் புதிய கடவுச்சொல்லுடன் உள்நுழைய முடியும்} other {}}"
