id,description,en,si,ta
...,This could be shown to the user in a reason for duplicate detected,Standard check,සාමාන්‍ය පරීක්ෂණය,நியமிக்கப்பட்ட சோதனை
action.action,Label for action button,Action,ක්‍රියාකාරකයාගේ නාමය ඇතුළත් කරන්න.,செயல்
action.archive,Label for archive record button in dropdown menu,Archive declaration,ආත්‍රවාහිනී ප්‍රකාශය,சேமிப்பு அறிக்கை
action.assignee,Label for asignee,Assigned to {name } at {officeName},{name} වෙත {officeName} හි පැවැත්වීමට වෙන්යවා.,{name} க்கு {officeName}-ல் ஒதுக்கப்பட்டுள்ளது.
action.correct,Label for correct record button in dropdown menu,Correct record,සංස්කරණය සාර්ථකතාව,சரியான பதிவு
action.issue,Label for reinstate issue button in dropdown menu,Issue certificate,සහත් ලකුණු නිපදවීමක්,சான்றிதழை விடுக.
action.print,Label for reinstate print button in dropdown menu,Print certified copy,සහත් ප්‍රභාවිත ප්‍රාථමිකයාගේ ප්‍රිනාමික ප්‍රබලනය මුද්‍රණය කරන්න,சான்றிதழில் அசல் பிரிக்கவும்
action.reinstate,Label for reinstate record button in dropdown menu,Reisntate declaration,නැවත ප්‍රකාශයක් දැක්වෙනවා,புதுப்பிக்கல் அறிக்கை
action.review.correction,Label for review correction in dropdown menu,Review correction request,සංස්කරණ විස්තර ඉල්ලීමේ විමසීම,மதிப்பீடு சரிப்பு கோரிக்கை
action.review.declaration,Label for review declaration button in dropdown menu,"Review {isDuplicate, select, true{potential duplicate} other{declaration}}","ප්‍රථිපලය {isDuplicate, select, true{ප්‍රවර්ගයේ අනුපිළිවෙලින්} other{වාර්තාව}} විස්තර කරන්න","{isDuplicate, select, true{சாத்தியமான நகல்} other{அறிக்கை}} மதிப்பீடு செய்க"
action.update,Label for reinstate update button in dropdown menu,Update declaration,යාවත්කාලීනය කරන්න,அறிக்கையை புதுப்பிக்கவும்
action.view,Label for view button in dropdown menu,View {recordOrDeclaration},ප්‍රලේඛනය {recordOrDeclaration} බලන්න.,{recordOrDeclaration} பார்க்கவும்.
advancedSearch.accordion.hide,Label for hide button when accordion is closed,Hide,පැහැදිලි කරන්න,மறைக்க
advancedSearch.accordion.show,Label for show button when accordion is closed,Show,පෙන්වන්න,காட்டு
advancedSearch.form.childDetails,The title of Child details accordion,Child details,දරුවාගේ විස්තරයන්,குழந்தை விவரங்கள்
advancedSearch.form.dateOfRegistration,Label for input date of registration,Date of registration,ලියාපදිංචි දිනය,பதிவு தேதி
advancedSearch.form.deceasedDetails,The title of Deceased details accordion,Deceased details,මස්පුරුෂ විස්තරවලින්,மரணமடைந்த விவரங்கள்
advancedSearch.form.eventDetails,The title of event details accordion,Event details,සිංහල ප්‍රශ්නය පරිවර්තකයාට පද්ධතියක් පිළිබඳව පරිවර්තකයාට ප්‍රශ්නය පරිවර්තකයාට පද්ධතියක් පිළිබඳව පරිවර්තකයාට ප්‍රශ්නය පරිවර්තකයාට පද්ධතියක් පිළිබඳව පරිවර්තකයාට ප්‍රශ්නය පරිවර්තකයාට පද්ධතියක් පිළිබඳව පරිවර්තකයාට ප්‍රශ්නය පරිවර්තකයාට පද්ධතියක් පිළිබඳව පරිවර්තකයාට ප්‍රශ්නය පරිවර්තකයාට පද්ධතියක් පිළිබඳව පරිවර්තකයාට ප්‍රශ්නය පරිවර්තකයාට පද්ධතියක් පිළිබඳව පරිවර්තකයාට ප්රශ්නයක්,நிகழ்வு விவரங்கள்
advancedSearch.form.fatherDetails,The title of Father details accordion,Father details,පියාගේ විස්තරයන්,தந்தை விவரங்கள்
advancedSearch.form.informantDetails,The title informant details form,Informant details,සොයාගැනීමේ විස්තරයන්,அறிக்கையாளர் விவரங்கள்
advancedSearch.form.motherDetails,The title of Mother details accordion,Mother details,මව්බින්ද විස්තරයන්,தாய் விவரங்கள்
advancedSearch.form.placeOfRegistration,Label for input Place of registration,Place of registration,ලියාපදිංචි ස්ථානය,பதிவு இடம்
advancedSearch.form.placeOfRegistrationHelperText,Helper text for input Place of registration,"Search for a province, district or registration office","පළාතය, දිස්ත්‍රික්කය හෝ ලියාපද කාර්යය සොයන්න.","ஒரு மாகாணத்தை, மாவட்டத்தை அல்லது பதிவு அலுவலகத்தை தேடுங்கள்."
advancedSearch.form.recordStatusAchived,Option for form field: status of record,Archived,අතිරික්කුවක්,பதிவுசீராக்கப்பட்டுள்ளது
advancedSearch.form.recordStatusAny,Option for form field: status of record,Any status,ඕනෑම තත්වයක්,எந்த நிலையும்
advancedSearch.form.recordStatusCertified,Option for form field: status of record,Certified,සහත්කම ලක්ෂණය කර ඇත,சான்றிதழ் பெற்றுள்ளேன்
advancedSearch.form.recordStatusCorrectionRequested,Option for form field: status of record,Correction requested,නිවැරදි විය අවශ්‍යයි,திருத்தம் கோரப்பட்டது
advancedSearch.form.recordStatusInReview,Option for form field: status of record,In review,සඳහන් කිරීමේදී,பரிசோதனையில்
advancedSearch.form.recordStatusInprogress,Option for form field: status of record,In progress,සිදුවෙමි,செயலாக்கம் செய்கிறது
advancedSearch.form.recordStatusRegistered,Option for form field: status of record,Registered,ලියාපදිංචියි,பதிவு செய்யப்பட்டது
advancedSearch.form.recordStatusRequireUpdate,Option for form field: status of record,Requires updates,යාවත්කාලීනවීම් අවශ්‍යයි,புதுப்பிக்கப்பட வேண்டும்
advancedSearch.form.recordStatusValidated,Option for form field: status of record,Validated,තහවුරු කරන ලදි,செல்லுதடி
advancedSearch.form.registrationDetails,The title of Registration details accordion,Registration details,ලියාපදිංචි විස්තරවලින්,பதிவு விவரங்கள்
advancedSearch.form.statusOfRecordLabel,Label for input Status of record,Status of record,රාත්‍රී තත්වය,பதிவுக்கான நிலை
advancedSearch.form.timePeriodHelperText,Helper text for input Time period,Period of time since the record status changed,රාජකාරී තත්ත්ව වෙනස් වූ කාල කාලය,பதிவு நிலை மாற்றம் நடந்த காலம்
advancedSearch.form.timePeriodLabel,Label for input Time period,Time period,වේලි කාලය,நேர காலம்
advancedSearchResult.pill.childDoB,The label for child d.o.b in active advancedSearchParams,Child d.o.b,දරුවාගේ උපන්දිනය,குழந்தையின் பிறந்த தேதி
advancedSearchResult.pill.childFirstName,The label for child firstname in active advancedSearchParams,Child firstname,දරුවාගේ පළමු නම,குழந்தையின் முதற் பெயர்
advancedSearchResult.pill.childLastName,The label for child lastname in active advancedSearchParams,Child lastname,දරුවාගේ අවසාන නම,குழந்தையின் கடைசி பெயர்
advancedSearchResult.pill.deceasedDoB,The label for deceased d.o.b in active advancedSearchParams,Deceased d.o.b,මසයින් අමතර උපන්දිනයක්,மரணமடைந்தவரின் பிறந்த தேதி
advancedSearchResult.pill.deceasedFirstName,The label for deceased firstname in active advancedSearchParams,Deceased firstname,මියගිය පුද්ගලයාගේ පළමු නම,மரணமடைந்தவரின் முதற் பெயர்
advancedSearchResult.pill.deceasedLastName,The label for deceased lastname in active advancedSearchParams,Deceased lastname,මස්නියාවේ ප්‍රසිද්ධ නම,மரணமடைந்த குடும்பப் பெயர்
advancedSearchResult.pill.event,The label for event param in active advancedSearchParams,Event,සිදු වීම,நிகழ்வு
advancedSearchResult.pill.eventDate,The label for event date param in active advancedSearchParams,Event date,සිදුවීම් දිනය,நிகழ்ச்சி தேதி
advancedSearchResult.pill.eventLocation,The label for event location in active advancedSearchParams,Event location,ස්ථාන ස්ථානය,நிகழ்வின் இடம்
advancedSearchResult.pill.fatherDoB,The label for father d.o.b in active advancedSearchParams,Father d.o.b,පියාගේ උ.ද.බී.,தந்தையின் பிறந்த தேதி
advancedSearchResult.pill.fatherFirstName,The label for father firstname in active advancedSearchParams,Father firstname,පියයාගේ පළමු නම,தந்தையின் முதற் பெயர்
advancedSearchResult.pill.fatherLastName,The label for father lastname in active advancedSearchParams,Father lastname,පියයාගේ අවසාන නම,தந்தையின் கடைசி பெயர்
advancedSearchResult.pill.gender,The label for gender in active advancedSearchParams,Sex,ස්ත්‍රී පුරුෂ භාවය,பாலினம்
advancedSearchResult.pill.informantDoB,The label for informant d.o.b in active advancedSearchParams,Informant d.o.b,දැනුම්දෙන පුද්ගලයාගේ උපන් දිනය,தகவல் வழங்குபவரின் பிறந்த தேதி
advancedSearchResult.pill.informantFirstName,The label for informant firstname in active advancedSearchParams,Informant firstname,දැනුම්දෙන පුද්ගලයාගේ පළමු නම,தகவல் வழங்குபவரின் முதற் பெயர்
advancedSearchResult.pill.informantLastName,The label for informant lastname in active advancedSearchParams,Informant lastname,දැනුම්දෙන පුද්ගලයාගේ අවසාන නම,தகவல் வழங்குபவரின் கடைசி பெயர்
